,title,url,ID,type,author,authorlast,year,doi,issn,isbn,publication,journal,booktitle,journal_abbrev,abstract,pages,language,volume,number,subcol_0,subcol_1,subcol_2,subcol_3
0,"Gandolfo - 1992 - Optimal control, expectations and uncertainty, S. .pdf",,6HTPKVXH,attachment,,,,,,,,,,,,,,,,,,,
1,Card and Krueger - 2000 - Minimum Wages and Employment A Case Study of the .pdf,,A7TMJ74V,attachment,,,,,,,,,,,,,,,,,,,
2,Dominitz and Sherman - 2006 - Identification and estimation of bounds on school .pdf,,7VD5R6B8,attachment,,,,,,,,,,,,,,,,,,,
3,Nelson et al. - 2020 - Introduction to the Special Issue on Marketing Sci.pdf,,XN5RA8MB,attachment,,,,,,,,,,,,,,,,,,,
4,Ailawadi et al. - 2020 - Introduction to the Special Issue on Marketing Sci.pdf,,EB26FT9Z,attachment,,,,,,,,,,,,,,,,,,,
5,Cohen et al. - 1972 - A Garbage Can Model of Organizational Choice.pdf,,R2QSAHBU,attachment,,,,,,,,,,,,,,,,,,,
6,Holly et al. - 2010 - A spatio-temporal model of house prices in the USA.pdf,,QQKL8DAV,attachment,,,,,,,,,,,,,,,,,,,
7,Card and Krueger - 1994 - Minimum Wages and Employment A Case Study of the .pdf,,BGDYTZS3,attachment,,,,,,,,,,,,,,,,,,,
8,Shaw - 1996 - An Empirical Analysis of Risk Aversion and Income .pdf,,HLVKP7UB,attachment,,,,,,,,,,,,,,,,,,,
9,Balassa - 1963 - An Empirical Demonstration of Classical Comparativ.pdf,,HLQVG6HG,attachment,,,,,,,,,,,,,,,,,,,
10,Angrist and Evans - 1998 - Children and Their Parents' Labor Supply Evidence.pdf,,LHLMP3WM,attachment,,,,,,,,,,,,,,,,,,,
11,Bernard and Jones - 1996 - Comparing Apples to Oranges Productivity Converge.pdf,,3YMAA838,attachment,,,,,,,,,,,,,,,,,,,
12,McCormick and Tollison - 1984 - Crime on the Court.pdf,,ARDIPVKZ,attachment,,,,,,,,,,,,,,,,,,,
13,Ramey and Ramey - 1995 - Cross-Country Evidence on the Link Between Volatil.pdf,,TQQ3HHHK,attachment,,,,,,,,,,,,,,,,,,,
14,Desvousges et al. - 2020 - Reply to Whitehead.pdf,,N7Y5YMJP,attachment,,,,,,,,,,,,,,,,,,,
15,Whitehead - 2020 - A comment on Desvousges et al. (Land Economics 201.pdf,,TLU7MAMZ,attachment,,,,,,,,,,,,,,,,,,,
16,Friedberg - 1998 - Did Unilateral Divorce Raise Divorce Rates Eviden.pdf,,DSD58RKG,attachment,,,,,,,,,,,,,,,,,,,
17,Ayres and Brooks - 2005 - Does Affirmative Action Reduce the Number of Black.pdf,,785CTHJN,attachment,,,,,,,,,,,,,,,,,,,
